country_code,country_name,weighted_exposure,total_employment_k,wb_country_code,wb_name,region,income_group,population_2024
KGZ,Kyrgyzstan,0.2401,2591.8,KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,7221868.0
CIV,Côte d'Ivoire,0.2397,8615.1,CIV,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income,31934230.0
WSM,Samoa,0.2394,52.5,WSM,Samoa,East Asia & Pacific,Upper middle income,218019.0
LKA,Sri Lanka,0.2373,7783.6,LKA,Sri Lanka,South Asia,Lower middle income,21916000.0
GEO,Georgia,0.237,1810.9,GEO,Georgia,Europe & Central Asia,Upper middle income,3699557.0
PNG,Papua New Guinea,0.2364,3989.3,PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,10576502.0
TUN,Tunisia,0.2364,5440.7,TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12277109.0
TGO,Togo,0.2353,3348.4,TGO,Togo,Sub-Saharan Africa,Low income,9515236.0
GTM,Guatemala,0.2337,7575.1,GTM,Guatemala,Latin America & Caribbean,Upper middle income,18406359.0
GMB,Gambia,0.2337,621.0,GMB,"Gambia, The",Sub-Saharan Africa,Low income,2759988.0
NPL,Nepal,0.2326,7374.1,NPL,Nepal,South Asia,Lower middle income,29651054.0
PAN,Panama,0.2318,1922.5,PAN,Panama,Latin America & Caribbean,High income,4515577.0
HND,Honduras,0.2314,4041.2,HND,Honduras,Latin America & Caribbean,Lower middle income,10825703.0
ALB,Albania,0.2302,1166.1,ALB,Albania,Europe & Central Asia,Upper middle income,2377128.0
STP,Sao Tome and Principe,0.23,27.2,STP,São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income,235536.0
MMR,Myanmar,0.2293,22262.1,MMR,Myanmar,East Asia & Pacific,Lower middle income,54500091.0
BWA,Botswana,0.2282,857.5,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2521139.0
KIR,Kiribati,0.2273,41.1,KIR,Kiribati,East Asia & Pacific,Lower middle income,134518.0
BEN,Benin,0.2272,5435.2,BEN,Benin,Sub-Saharan Africa,Lower middle income,14462724.0
GIN,Guinea,0.2271,3156.8,GIN,Guinea,Sub-Saharan Africa,Lower middle income,14754785.0
VNM,Viet Nam,0.2253,53436.1,VNM,Vietnam,East Asia & Pacific,Lower middle income,100987686.0
PAK,Pakistan,0.225,77608.6,PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,251269164.0
MWI,Malawi,0.2225,4979.6,MWI,Malawi,Sub-Saharan Africa,Low income,21655286.0
ECU,Ecuador,0.2222,8295.9,ECU,Ecuador,Latin America & Caribbean,Upper middle income,18135478.0
TJK,Tajikistan,0.2216,2254.9,TJK,Tajikistan,Europe & Central Asia,Lower middle income,10590927.0
KHM,Cambodia,0.2208,9701.4,KHM,Cambodia,East Asia & Pacific,Lower middle income,17638801.0
CPV,Cabo Verde,0.2201,132.2,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,524877.0
GHA,Ghana,0.22,12026.4,GHA,Ghana,Sub-Saharan Africa,Lower middle income,34427414.0
FSM,Micronesia (Federated States of),0.2188,30.1,FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,113160.0
VUT,Vanuatu,0.2182,69.7,VUT,Vanuatu,East Asia & Pacific,Lower middle income,327777.0
BGD,Bangladesh,0.218,67828.9,BGD,Bangladesh,South Asia,Lower middle income,173562364.0
IND,India,0.2166,482793.2,IND,India,South Asia,Lower middle income,1450935791.0
SDN,Sudan,0.2128,7961.2,SDN,Sudan,Sub-Saharan Africa,Low income,50448963.0
TLS,Timor-Leste,0.2076,354.3,TLS,Timor-Leste,East Asia & Pacific,Lower middle income,1400638.0
AGO,Angola,0.2062,13086.2,AGO,Angola,Sub-Saharan Africa,Lower middle income,37885849.0
LAO,Lao People's Democratic Republic,0.2054,3442.6,LAO,Lao PDR,East Asia & Pacific,Lower middle income,7769819.0
SLE,Sierra Leone,0.2047,3157.2,SLE,Sierra Leone,Sub-Saharan Africa,Low income,8642022.0
MLI,Mali,0.2001,6736.2,MLI,Mali,Sub-Saharan Africa,Low income,24478595.0
SLB,Solomon Islands,0.1992,362.9,SLB,Solomon Islands,East Asia & Pacific,Lower middle income,819198.0
KEN,Kenya,0.1988,14540.3,KEN,Kenya,Sub-Saharan Africa,Lower middle income,56432944.0
BFA,Burkina Faso,0.1977,7857.2,BFA,Burkina Faso,Sub-Saharan Africa,Low income,23548781.0
COD,"Congo, Democratic Republic of the",0.1969,30581.6,COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,109276265.0
