country_code,country_name,gmyrek,eloundou,wc_share,gni_ppp,gmyrek_rank,eloundou_rank
GEO,Georgia,0.237,0.2453580757974776,0.2909596142833547,26200.0,88,83
PNG,Papua New Guinea,0.2364,0.2297569504314924,0.1648740542285724,4580.0,89,94
TUN,Tunisia,0.2364,0.2382370897856848,0.2384327920654056,14230.0,89,86
TGO,Togo,0.2353,0.2207769785665272,0.0803656862709955,3380.0,91,100
GTM,Guatemala,0.2337,0.2254662301264053,0.1527295183648608,14170.0,92,96
GMB,Gambia,0.2337,0.2220395152372824,0.1172575598743325,3430.0,92,99
NPL,Nepal,0.2326,0.2228190255439639,0.1624365027908997,5830.0,94,98
PAN,Panama,0.2318,0.2529989975187054,0.275467727346256,39260.0,95,76
HND,Honduras,0.2314,0.2236571984186075,0.1667608224039674,6900.0,96,97
ALB,Albania,0.2302,0.2341006040676589,0.2230246920991105,26500.0,97,90
MMR,Myanmar,0.2293,0.2199872661015849,0.0818123594356883,5890.0,98,103
BWA,Botswana,0.2282,0.2346954760539341,0.2457323117470746,20570.0,99,89
KIR,Kiribati,0.2273,0.2338695015552722,0.2245950284574589,6060.0,100,91
BEN,Benin,0.2272,0.2135693762072178,0.0563913682385775,4390.0,101,107
GIN,Guinea,0.2271,0.2076855104282961,0.0865642848318388,4130.0,102,112
VNM,Viet Nam,0.2253,0.2093126524230351,0.1348121300160646,15850.0,103,110
PAK,Pakistan,0.225,0.2200491331384956,0.1446574530241229,6100.0,104,102
MWI,Malawi,0.2225,0.2202847829864117,0.2064660666351105,1830.0,105,101
ECU,Ecuador,0.2222,0.2174020714607737,0.1595662392150147,15410.0,106,104
TJK,Tajikistan,0.2216,0.226259777351385,0.2461524679507212,7100.0,107,95
KHM,Cambodia,0.2208,0.2089797407408416,0.1022384444274928,7910.0,108,111
CPV,Cabo Verde,0.2201,0.2119545204599934,0.1638203572887191,11000.0,109,109
GHA,Ghana,0.22,0.2072147285700111,0.1115201188718638,7720.0,110,113
VUT,Vanuatu,0.2182,0.2158157421031998,0.1813745891875591,4140.0,111,105
BGD,Bangladesh,0.218,0.2121822695143612,0.0955669252013158,10060.0,112,108
IND,India,0.2166,0.2143491865291008,0.1389416956559389,11000.0,113,106
SDN,Sudan,0.2128,0.1980111244404072,0.1037058046305248,2050.0,114,114
AGO,Angola,0.2062,0.1898104356540919,0.0897045841767125,9460.0,115,116
LAO,Lao People's Democratic Republic,0.2054,0.1951615567884207,0.0929300863187806,9160.0,116,115
SLE,Sierra Leone,0.2047,0.1862396569972879,0.063015771759573,3490.0,117,118
MLI,Mali,0.2001,0.1839588303325475,0.0460898930314244,3230.0,118,119
BFA,Burkina Faso,0.1977,0.179551147138174,0.127912396161986,2720.0,119,120
COD,"Congo, Democratic Republic of the",0.1969,0.187709523714273,0.1077202672158333,1760.0,120,117
ZWE,Zimbabwe,0.1918,0.1774989425331251,0.1149302539627383,5870.0,121,121
ZMB,Zambia,0.1872,0.167547055266586,0.0820856168026287,3850.0,122,123
RWA,Rwanda,0.1862,0.167753626456779,0.0919553424714552,3620.0,123,122
UGA,Uganda,0.182,0.1610146126572288,0.0556226148720688,3190.0,124,124
GNB,Guinea-Bissau,0.1788,0.1566382633421392,0.067395098564106,3140.0,125,125
ETH,Ethiopia,0.1767,0.1540719108181935,0.0500830836794607,3280.0,126,127
LSO,Lesotho,0.1748,0.1509401704502444,0.0960537928241224,3580.0,127,128
TZA,"Tanzania, United Republic of",0.1733,0.156311361477373,0.0434452107240109,4130.0,128,126
MDG,Madagascar,0.1662,0.1498690538178919,0.0507978525122849,1830.0,129,129
MOZ,Mozambique,0.1618,0.1339636887671502,0.0491935182512197,1520.0,130,130
BDI,Burundi,0.144,0.1122543512862547,0.0309186940144,1200.0,131,131
