country_code,country_name,domestic_exposure,remit_weighted_exposure,remit_weighted_exposure_raw,remittance_pct_gdp,n_sources_with_exposure,source_share_covered,total_inflow_m
CHE,Switzerland,0.3349,0.3349,0.31534601423487535,0.3882,54,0.9313887968180313,3017.0
CHL,Chile,0.2786,0.2786,0.3025820895522388,0.0303,18,0.9178082191780821,73.0
CIV,Côte d'Ivoire,0.2397,0.23801515151515149,0.23801515151515149,2.0327,16,0.9649122807017544,342.0
COD,"Congo, Democratic Republic of the",0.1969,0.25109184981684984,0.25109184981684984,2.8194,34,0.8192048012003,1333.0
COL,Colombia,0.2628,0.301546677852349,0.301546677852349,2.8349,39,0.692781587818203,8603.0
CPV,Cabo Verde,0.2201,0.2201,0.31338488745980714,,17,0.9999999999999999,311.0
CRI,Costa Rica,0.274,0.274,0.31105525812619506,0.7601,26,0.8879456706281834,589.0
CYP,Cyprus,0.3219,0.322822528363047,0.322822528363047,1.799,29,0.9306184012066365,663.0
CZE,Czechia,0.3016,0.32915589519650656,0.32915589519650656,1.2241,38,0.8873945748803281,4387.0
DEU,Germany,0.333,0.333,0.3142981852611646,0.453,72,0.9316377536018817,20406.0
DNK,Denmark,0.3239,0.3239,0.32169347623485556,0.3579,46,0.7201342281879195,1490.0
DOM,Dominican Republic,0.264,0.31827402955665024,0.31827402955665024,9.0496,35,0.9448892198845653,10742.0
ECU,Ecuador,0.2222,0.3101160505604579,0.3101160505604579,5.2491,34,0.9610359844143939,4363.0
EGY,Egypt,0.2543,0.29187855063086376,0.29187855063086376,7.5976,52,0.49083748848731223,31487.0
ESP,Spain,0.3011,0.3011,0.3138396071815881,0.3667,56,0.9225211204979993,8996.0
EST,Estonia,0.3115,0.3119039252336449,0.3119039252336449,1.1506,26,0.9240069084628669,579.0
ETH,Ethiopia,0.1767,0.3125584664536742,0.3125584664536742,4.7667,24,0.7211981566820276,434.0
FIN,Finland,0.3089,0.3089,0.3270398009950249,0.2507,34,0.9571428571428571,840.0
FJI,Fiji,0.2585,0.3214712328767123,0.3214712328767123,7.1077,7,0.6058091286307055,482.0
FRA,France,0.3193,0.31675869051636857,0.31675869051636857,1.2269,80,0.8314470115050043,32073.0
GBR,United Kingdom of Great Britain and Northern Ireland,0.3294,0.3294,0.3163043494563179,0.1312,63,0.7587482219061166,3515.0
GEO,Georgia,0.237,0.30396535147392284,0.30396535147392284,11.8705,32,0.8342792281498297,2643.0
GHA,Ghana,0.22,0.3036627050359713,0.3036627050359713,3.6782,37,0.7711939636040833,4506.0
GIN,Guinea,0.2271,0.278979797979798,0.278979797979798,2.4648,20,0.8633720930232558,344.0
GMB,Gambia,0.2337,0.3158666037735849,0.3158666037735849,21.999,23,0.9724770642201835,545.0
GNB,Guinea-Bissau,0.1788,0.30220833333333336,0.30220833333333336,9.7899,15,0.8181818181818181,176.0
GRC,Greece,0.3154,0.3154,0.32228521462639104,0.2191,31,0.9182481751824818,685.0
GTM,Guatemala,0.2337,0.3187144401239043,0.3187144401239043,19.1207,32,0.985643757308042,15394.0
GUY,Guyana,0.247,0.3202688581314879,0.3202688581314879,2.4328,9,0.7391304347826086,391.0
HND,Honduras,0.2314,0.316664363584879,0.316664363584879,25.6991,30,0.9811084872899014,7199.0
HRV,Croatia,0.3107,0.31550110095554623,0.31550110095554623,7.2105,35,0.9545905215149714,5043.0
HUN,Hungary,0.3086,0.3251763092269327,0.3251763092269327,2.4615,44,0.9202524383247275,3486.0
IDN,Indonesia,0.2419,0.3040984126984127,0.3040984126984127,1.1486,37,0.2547892720306513,9396.0
IND,India,0.2166,0.3035280119084441,0.3035280119084441,3.5212,76,0.5787813010495224,89374.0
IRL,Ireland,0.3307,0.3307,0.3258375,0.1078,16,0.9195402298850575,174.0
IRQ,Iraq,0.2428,0.2428,0.3048743486973948,0.249,22,0.837248322147651,596.0
ISR,Israel,0.3333,0.3333,0.30616975290697673,0.1762,54,0.8933904687702896,7701.0
ITA,Italy,0.313,0.313,0.3199286690171882,0.4684,65,0.8849453978159126,10256.0
JAM,Jamaica,0.2662,0.2662,0.322964954012052,,19,0.851931910294515,3701.0
JOR,Jordan,0.2547,0.2905382678367036,0.2905382678367036,8.3054,37,0.5078473164115481,5161.0
