country_code,country_name,weighted_exposure,wc_share,wc_exposure,bc_exposure,exposure_residual_wc
PSE,Palestine (State of),0.2534,0.2851575867808541,0.3782371403685388,0.20354302415329098,0.0011058101360116868
PHL,Philippines,0.2523,0.21507104741517782,0.43201644664420474,0.2030511262233155,0.016948819579016755
SLV,El Salvador,0.2511,0.2007110764772484,0.4152234473722891,0.20986981989733938,0.01922025825190074
THA,Thailand,0.25,0.1812935621957605,0.4255559166111427,0.21111637712797898,0.022814328337376455
GUY,Guyana,0.247,0.24633454432697588,0.39636254520767356,0.19821747086262334,0.004091052735454126
SWZ,Eswatini,0.2438,0.23569518716577462,0.3798828282189925,0.2018456531057371,0.0034630548699755015
PER,Peru,0.2432,0.22474257701523861,0.4088352515776811,0.19512107393800218,0.005510784075691805
IRQ,Iraq,0.2428,0.2623091132590289,0.3758458676382702,0.19545072071082542,-0.003970705523882345
BLZ,Belize,0.2425,0.20160485643512452,0.4255793765205588,0.19629063015468678,0.010404192194091083
BTN,Bhutan,0.2422,0.2857393204401878,0.38128427740077836,0.18657704196271097,-0.010234820561018182
IDN,Indonesia,0.2419,0.1534518810359809,0.4101673960944012,0.21140677108886508,0.021444891310932246
BOL,Bolivia (Plurinational State of),0.2413,0.1815533267035971,0.38153102250177034,0.21017254935447477,0.01405153179257529
NER,Niger,0.2412,0.16720694025883992,0.36357483449041794,0.21665608642342044,0.017419686493983788
KGZ,Kyrgyzstan,0.2401,0.2339759851501624,0.3767316483304324,0.19832182849475677,0.00017866186453655009
CIV,Côte d'Ivoire,0.2397,0.0812449673937601,0.3691415804168951,0.22825743891385894,0.03670048878746482
WSM,Samoa,0.2394,0.2663921927416888,0.395518121237411,0.18267404129749581,-0.008357766018769974
LKA,Sri Lanka,0.2373,0.2439120527127672,0.4034135585735094,0.1837600072924794,-0.005023324138242108
GEO,Georgia,0.237,0.29095961428335476,0.3858807640172004,0.17593584358814693,-0.01669679595145035
PNG,Papua New Guinea,0.2364,0.1648740542285724,0.3792306219679538,0.2081712735832024,0.013183647996406533
TUN,Tunisia,0.2364,0.23843279206540569,0.3961788028494812,0.18642218772014338,-0.004598745043181307
TGO,Togo,0.2353,0.08036568627099551,0.3922789437255933,0.2216082637469891,0.032513049837002844
GTM,Guatemala,0.2337,0.15272951836486087,0.41730620494706017,0.20065663571725245,0.013419518245987555
GMB,Gambia,0.2337,0.11725755987433259,0.3741238526499812,0.2150537147465453,0.02199465597009717
NPL,Nepal,0.2326,0.1624365027908997,0.3826947721054931,0.20351769753485296,0.00997291174662282
PAN,Panama,0.2318,0.275467727346256,0.4085555945970485,0.16458612740424886,-0.018151723230770744
HND,Honduras,0.2314,0.16676082240396742,0.3977659306991833,0.19813142904656872,0.007727532866428577
ALB,Albania,0.2302,0.22302469209911052,0.3765271173556841,0.18819147930510066,-0.007073927330815355
STP,Sao Tome and Principe,0.23,0.14630024248658918,0.4028024596615507,0.20033422154609867,0.011273757945980373
MMR,Myanmar,0.2293,0.08181235943568839,0.4526676727067623,0.20941423026262942,0.026163325092249112
BWA,Botswana,0.2282,0.2457323117470746,0.39597224571590506,0.173485139953493,-0.0145633610738094
KIR,Kiribati,0.2273,0.2245950284574589,0.3901822339361641,0.18013116997942888,-0.0103535469266606
BEN,Benin,0.2272,0.0563913682385775,0.3867707238880779,0.21766821977911632,0.03020870047818422
GIN,Guinea,0.2271,0.08656428483183881,0.3763152576861778,0.21294690387970525,0.022814575024288658
VNM,Viet Nam,0.2253,0.1348121300160646,0.4227472978022388,0.19454356887555657,0.009350941693844594
PAK,Pakistan,0.225,0.1446574530241229,0.3875603599222523,0.19745475290185766,0.006670892654404376
MWI,Malawi,0.2225,0.20646606663511052,0.373513672354931,0.18326638445875745,-0.010770976833631402
ECU,Ecuador,0.2222,0.1595662392150147,0.4010732417950371,0.188215410669829,0.0002667811159806355
TJK,Tajikistan,0.2216,0.24615246795072127,0.3554354654976021,0.17791920766120783,-0.021264931369480294
KHM,Cambodia,0.2208,0.10223844442749282,0.4210568276861184,0.19797405654553973,0.012725438958449603
CPV,Cabo Verde,0.2201,0.1638203572887191,0.4008754220761584,0.18470935170482283,-0.0028616269541962835
GHA,Ghana,0.22,0.11152011887186382,0.37816518366363316,0.20019759916339608,0.009681648650336716
FSM,Micronesia (Federated States of),0.2188,0.26027669951229143,0.3921088616859339,0.1578353250240874,-0.02747938143205636
VUT,Vanuatu,0.2182,0.1813745891875591,0.3936214451734741,0.17935817423504094,-0.00900525946221542
BGD,Bangladesh,0.218,0.0955669252013158,0.3926941084153766,0.19956407768612358,0.011538239565689529
IND,India,0.2166,0.13894169565593892,0.40256138501401695,0.18659787372167735,-0.00034735655664894227
SDN,Sudan,0.2128,0.10370580463052481,0.36872985349936405,0.19477405614453927,0.004370713243622287
TLS,Timor-Leste,0.2076,0.09537343847903683,0.39342730480894583,0.18795822986141225,0.0011850138449211456
AGO,Angola,0.2062,0.0897045841767125,0.37470809510403535,0.18955424739816676,0.001155426093044476
LAO,Lao People's Democratic Republic,0.2054,0.09293008631878069,0.4298731950980168,0.18245230888248568,-0.00042432011423162996
SLE,Sierra Leone,0.2047,0.063015771759573,0.3662806573529462,0.1938127499536518,0.00610728981607539
MLI,Mali,0.2001,0.0460898930314244,0.3812076028533556,0.19139674100023715,0.005599021633877543
SLB,Solomon Islands,0.1992,0.1675415319925151,0.37145698618306183,0.1645778099360457,-0.0246611990933846
