country_code,country_name,wc_share_M,wc_share_F,wc_share_T,wc_gap,gender_gap,predicted_gg,residual,abs_residual
SLE,Sierra Leone,0.11118653938009958,0.04591075934847443,0.07769111411895478,-0.06527578003162515,0.0322,0.007352725407119924,0.024847274592880074,0.024847274592880074
GUY,Guyana,0.17285566127696297,0.3512319755053066,0.24454335572703262,0.17837631422834363,0.0788999999999999,0.054084723157544506,0.024815276842455394,0.024815276842455394
WLF,Wallis and Futuna,0.33053892215568864,0.5355805243445693,0.4406576980568012,0.20504160218888062,0.0831,0.059199073521620044,0.02390092647837995,0.02390092647837995
GIN,Guinea,0.1094101308034844,0.04675700272456351,0.08568082624727219,-0.06265312807892089,0.0311,0.007855744950318076,0.023244255049681924,0.023244255049681924
IRN,Iran (Islamic Republic of),0.2016580068535071,0.5051721455289726,0.2514868610281501,0.3035141386754655,0.0553999999999999,0.07808591448043282,-0.022685914480432924,0.022685914480432924
GMB,Gambia,0.15109036336591586,0.08455129760638133,0.11684606448051656,-0.06653906575953453,0.0291,0.007110429661728894,0.021989570338271106,0.021989570338271106
GEO,Georgia,0.22760492329305096,0.35501666814172345,0.28929925282332636,0.1274117448486725,0.0225999999999999,0.044309817881905966,-0.021709817881906065,0.021709817881906065
MHL,Marshall Islands,0.36121335194821674,0.44190732034922764,0.39015703415897685,0.0806939684010109,0.0567,0.03534943923017338,0.021350560769826624,0.021350560769826624
NLD,Netherlands,0.6170020450754163,0.6526049383197814,0.6337618354569449,0.03560289324436505,0.0053999999999999,0.026701058721954593,-0.021301058721954695,0.021301058721954695
TUV,Tuvalu,0.4483528754885539,0.7546501328609388,0.5634758995247795,0.30629725737238495,0.0995999999999999,0.07861971123304695,0.020980288766952945,0.020980288766952945
ROU,Romania,0.24360817352932937,0.43479957742425435,0.3252749754658434,0.19119140389492498,0.0774,0.056542632428914,0.020857367571086,0.020857367571086
TZA,"Tanzania, United Republic of",0.04996757282377314,0.03684352172615888,0.043433158560764226,-0.013124051097614262,-0.0032,0.017355325576132164,-0.020555325576132166,0.020555325576132166
GTM,Guatemala,0.13477610580217791,0.17641285556742856,0.15272951836486193,0.04163674976525064,0.0481999999999999,0.027858340666182632,0.02034165933381727,0.02034165933381727
LKA,Sri Lanka,0.19632011353537732,0.31535581478274166,0.236690792016764,0.11903570124736434,0.0225999999999999,0.042703309011450086,-0.020103309011450184,0.020103309011450184
STP,Sao Tome and Principe,0.10466336782126259,0.15275578677523938,0.1455675379272528,0.048092418953976784,0.0091999999999999,0.029096525459633028,-0.01989652545963313,0.01989652545963313
NOR,Norway,0.5565547535541641,0.6226877019974915,0.5868687921872353,0.0661329484433274,0.0136,0.03255666392498631,-0.01895666392498631,0.01895666392498631
SWE,Sweden,0.5898109570804063,0.6937052296176813,0.6391994696623442,0.10389427253727501,0.0211,0.03979921243650691,-0.018699212436506907,0.018699212436506907
TUR,Türkiye,0.29259013170887094,0.3789731483307477,0.3212189979415907,0.08638301662187675,0.0179,0.0364405876131456,-0.0185405876131456,0.0185405876131456
UGA,Uganda,0.06817636418835303,0.04113045086555303,0.05547548463225516,-0.0270459133228,-0.0027999999999999,0.01468513948080997,-0.017485139480809868,0.017485139480809868
BRB,Barbados,0.31557783785633614,0.529120879120879,0.41799717414341225,0.21354304126454288,0.0783,0.06082963300014982,0.017470366999850176,0.017470366999850176
BRN,Brunei Darussalam,0.4209900812485518,0.6122095981007292,0.49620463528566294,0.19121951685217736,0.0731,0.05654802443943238,0.016551975560567617,0.016551975560567617
BWA,Botswana,0.20424960240685444,0.28738626924488575,0.24527693514705232,0.08313666683803131,0.0521,0.03581794403909165,0.01628205596090835,0.01628205596090835
MSR,Montserrat,0.3759590792838875,0.5631399317406145,0.47512234910277334,0.187180852456727,0.0716999999999999,0.05577341646400684,0.015926583535993064,0.015926583535993064
SOM,Somalia,0.35558454562763114,0.3602588267298836,0.3589327614994397,0.004674281102252431,0.0049,0.02076901107246132,-0.015869011072461317,0.015869011072461317
FIN,Finland,0.4849416117156478,0.5852907283298777,0.5335184585636279,0.1003491166142299,0.0233,0.03911925842616345,-0.015819258426163448,0.015819258426163448
MDV,Maldives,0.4487306026210452,0.44737677690391287,0.44825408753829216,-0.0013538257171323287,0.0040999999999999,0.019612831909797374,-0.015512831909797475,0.015512831909797475
NIU,Niue,0.575070821529745,0.6853932584269663,0.6091030789825971,0.11032243689722132,0.0564,0.04103212185729708,0.01536787814270292,0.01536787814270292
SGP,Singapore,0.7104555268768173,0.7671129751118383,0.7375967348904149,0.056657448235020946,0.0461,0.030739281415865488,0.015360718584134514,0.015360718584134514
EGY,Egypt,0.2228111395945336,0.5101707250557084,0.2701745481422475,0.2873595854611748,0.0596999999999999,0.07498750259621623,-0.015287502596216328,0.015287502596216328
ALB,Albania,0.2035268576977753,0.2678355541538542,0.2331020091308999,0.0643086964560789,0.0169999999999999,0.03220677594219169,-0.015206775942191792,0.015206775942191792
KEN,Kenya,0.13789050393582453,0.1303429689110431,0.1345126597504569,-0.007547535024781421,0.0035999999999999,0.01842489051199837,-0.01482489051199847,0.01482489051199847
AGO,Angola,0.1304572909931398,0.061385792553088674,0.09532745208430618,-0.06907149844005112,0.021,0.0066247139994504815,0.01437528600054952,0.01437528600054952
SWZ,Eswatini,0.2320179223974879,0.2289379860194829,0.2347116316009347,-0.0030799363780049938,0.0335999999999999,0.019281767242506565,0.014318232757493336,0.014318232757493336
BEL,Belgium,0.5419768991973449,0.6557395982997268,0.5953059803156688,0.1137626991023819,0.0275,0.04169195745657947,-0.01419195745657947,0.01419195745657947
DOM,Dominican Republic,0.1822389500665393,0.3764279933144003,0.26323207888079087,0.194189043247861,0.0712,0.05711757382608715,0.014082426173912851,0.014082426173912851
USA,United States of America,0.5173211879312287,0.7088556855475903,0.6074466198564276,0.19153449761636154,0.0425999999999999,0.0566084371373326,-0.0140084371373327,0.0140084371373327
BGR,Bulgaria,0.32483880121250575,0.4993628381042419,0.4066175136827778,0.17452403689173618,0.067,0.05334586385746286,0.013654136142537146,0.013654136142537146
THA,Thailand,0.13736128648410253,0.23182227079806866,0.18099210295210788,0.09446098431396613,0.0514999999999999,0.037989926104001925,0.013510073895997975,0.013510073895997975
MNE,Montenegro,0.4020476193534711,0.5804284183077637,0.48016426056150724,0.1783807989542926,0.0675,0.054085583319258265,0.01341441668074174,0.01341441668074174
TUN,Tunisia,0.20232066386410866,0.3071148783287322,0.23843279206540643,0.10479421446462353,0.0267,0.03997181954769181,-0.013271819547691806,0.013271819547691806
GBR,United Kingdom of Great Britain and Northern Ireland,0.6030705383017936,0.6822361060722079,0.6415190711548144,0.07916556777041428,0.0219,0.035056294962122966,-0.013156294962122967,0.013156294962122967
COD,"Congo, Democratic Republic of the",0.1416968968946441,0.0716622142603352,0.1076829850420168,-0.0700346826343089,-0.0063,0.006439977144485166,-0.012739977144485166,0.012739977144485166
MMR,Myanmar,0.06113012101669095,0.11152189642055722,0.08178741767476808,0.050391775403866274,0.0421999999999999,0.029537537554234647,0.01266246244576525,0.01266246244576525
GHA,Ghana,0.1456827507477576,0.0791951079125574,0.11152011887186479,-0.0664876428352002,0.0197,0.0071202924785932886,0.01257970752140671,0.01257970752140671
MKD,North Macedonia,0.3425681219827738,0.4915639327559857,0.4057603952957494,0.1489958107732119,0.0359,0.048449599742981936,-0.012549599742981934,0.012549599742981934
MUS,Mauritius,0.3258914875784747,0.4919625876038872,0.3957802032146999,0.16607110002541253,0.064,0.0517246070083424,0.0122753929916576,0.0122753929916576
MEX,Mexico,0.23650986238095706,0.3435598958943995,0.2804011218089212,0.10705003351344244,0.0525999999999999,0.040404481253452855,0.012195518746547042,0.012195518746547042
RWA,Rwanda,0.09784487721719616,0.08495865051689064,0.09195534247145631,-0.012886226700305523,0.0052999999999999,0.017400939832942816,-0.012100939832942916,0.012100939832942916
CHE,Switzerland,0.6167083295074233,0.694130873499568,0.6530323781540592,0.07742254399214477,0.0228999999999999,0.03472198639181321,-0.01182198639181331,0.01182198639181331
COL,Colombia,0.2558012258251756,0.3568204172281229,0.2977429219948597,0.1010191914029473,0.0507999999999999,0.03924777746727436,0.011552222532725538,0.011552222532725538
NPL,Nepal,0.16778199427505608,0.15218399621014453,0.16202590888739493,-0.01559799806491155,0.0053999999999999,0.016880827359888426,-0.011480827359888526,0.011480827359888526
MDG,Madagascar,0.05214046937781321,0.04902187946562318,0.0507062627286044,-0.00311858991219003,0.0078999999999999,0.019274353569835014,-0.011374353569835113,0.011374353569835113
KOS,Kosovo,0.32064636274704167,0.6126105125017266,0.4001793129482824,0.29196414975468493,0.0648,0.07587064907135553,-0.011070649071355534,0.011070649071355534
KHM,Cambodia,0.11411432557897815,0.08782437629720269,0.10166302969673921,-0.026289949281775457,0.0258,0.014830131913449878,0.010969868086550122,0.010969868086550122
BOL,Bolivia (Plurinational State of),0.18266754439575028,0.18007022575810086,0.1814123061326619,-0.0025973186376494206,0.0302999999999999,0.019374332386365118,0.010925667613634782,0.010925667613634782
ISR,Israel,0.5553593381505876,0.6850257298362153,0.6192095643277928,0.12966639168562777,0.034,0.04474225475971164,-0.01074225475971164,0.01074225475971164
ZWE,Zimbabwe,0.1101488275697837,0.1195261888743584,0.11477480449739685,0.0093773613045747,0.0109999999999999,0.021671052707287114,-0.010671052707287213,0.010671052707287213
CZE,Czechia,0.41718634992275516,0.5771315906557627,0.48927988340046263,0.15994524073300753,0.0610999999999999,0.050549679111491885,0.010550320888508012,0.010550320888508012
KGZ,Kyrgyzstan,0.16362724314902563,0.3436270604483749,0.2339759851501632,0.17999981729934925,0.0438999999999999,0.05439610788868124,-0.010496107888681341,0.010496107888681341
HRV,Croatia,0.43396143168412254,0.6006586349443132,0.5125809251280656,0.1666972032601906,0.062,0.05184469239093699,0.01015530760906301,0.01015530760906301
DNK,Denmark,0.5211833120280075,0.6258000068449783,0.5700234448432026,0.10461669481697078,0.0302,0.039937771624566167,-0.009737771624566165,0.009737771624566165
PNG,Papua New Guinea,0.18879947200951924,0.13562485634568555,0.16460700814453544,-0.05317461566383369,0.0191999999999999,0.009673705194840386,0.009526294805159515,0.009526294805159515
LSO,Lesotho,0.08223953378526713,0.11155375085010541,0.09565227133531513,0.029314217064838277,0.0174,0.025494902862849885,-0.008094902862849886,0.008094902862849886
ITA,Italy,0.4330137706127108,0.5802621229942375,0.4955717305606854,0.14724835238152673,0.0562,0.04811444062244484,0.00808555937755516,0.00808555937755516
RUS,Russian Federation,0.3989568348228829,0.6262427049693808,0.5102139318339292,0.22728587014649793,0.0712999999999999,0.06346548084847882,0.007834519151521085,0.007834519151521085
HUN,Hungary,0.3890239951690105,0.6038828847843302,0.49007664092455255,0.21485888961531968,0.0688999999999999,0.06108201015436705,0.007817989845632853,0.007817989845632853
PAN,Panama,0.19685736633829187,0.385882347057301,0.2754677273462568,0.18902498071900914,0.0639,0.05612711667769149,0.0077728833223085075,0.0077728833223085075
MLI,Mali,0.04906046458144927,0.038107907509225505,0.046007790219769536,-0.010952557072223763,0.0254,0.017771813906420575,0.007628186093579424,0.007628186093579424
BTN,Bhutan,0.2859666181967403,0.27893419839602956,0.28316975152026613,-0.007032419800710732,0.0116,0.0185236886100225,-0.006923688610022502,0.006923688610022502
IDN,Indonesia,0.13396920896019385,0.18221161530998015,0.15285680919451816,0.0482424063497863,0.0351999999999999,0.029125292750408226,0.006074707249591672,0.006074707249591672
IRL,Ireland,0.5293067407136213,0.6700642766647423,0.595356637377704,0.14075753595112106,0.0408,0.046869514656405355,-0.006069514656405352,0.006069514656405352
CYP,Cyprus,0.4577470651902422,0.5929933859611691,0.522788110122502,0.1352463207709269,0.0518,0.045812474304730226,0.005987525695269773,0.005987525695269773
SRB,Serbia,0.3322357497294366,0.4762087406995,0.39838522848787933,0.14397299097006339,0.0414999999999999,0.04748623267464441,-0.005986232674644515,0.005986232674644515
TLS,Timor-Leste,0.10710948567754124,0.0788677860586352,0.09461926602935657,-0.028241699618906033,0.0085999999999999,0.014455789995145414,-0.005855789995145515,0.005855789995145515
AUT,Austria,0.5100508233191142,0.602540935388354,0.5539061829936209,0.09249011206923974,0.0428999999999999,0.03761191664101468,0.0052880833589852155,0.0052880833589852155
MNG,Mongolia,0.25485167217272964,0.421751309609899,0.3309408374003573,0.16689963743716935,0.0466,0.05188351887232601,-0.005283518872326004,0.005283518872326004
MWI,Malawi,0.22016322729184193,0.19120339661615116,0.20646606663511144,-0.028959830675690773,0.0090999999999999,0.014318053855293616,-0.005218053855293716,0.005218053855293716
FRA,France,0.5236712762633496,0.6432803921518325,0.5820811478942842,0.11960911588848289,0.0377,0.04281328882426558,-0.00511328882426558,0.00511328882426558
POL,Poland,0.4361906462270749,0.632912588640335,0.5268929423718425,0.19672194241326008,0.0625,0.057603378959258655,0.004896621040741345,0.004896621040741345
SVN,Slovenia,0.4147351085082106,0.5920264160978634,0.4952631287419874,0.17729130758965284,0.0489999999999999,0.05387662099469426,-0.00487662099469436,0.00487662099469436
ARG,Argentina,0.3319376164773876,0.4404382905176865,0.38018068569218955,0.1085006740402989,0.0359999999999999,0.040682711284857384,-0.004682711284857484,0.004682711284857484
ZMB,Zambia,0.08218337365233573,0.07983310213001897,0.0817889086656031,-0.0023502715223167603,0.0148999999999999,0.019421715542553616,-0.004521715542553716,0.004521715542553716
DEU,Germany,0.5379859016973839,0.6854873410564172,0.6069873655540515,0.14750143935903326,0.0437,0.048162982212450134,-0.004462982212450131,0.004462982212450131
GRC,Greece,0.3655955425256468,0.5194129839871473,0.43255122731451745,0.1538174414615005,0.0538,0.04937437913042306,0.004425620869576943,0.004425620869576943
LVA,Latvia,0.4203301083492965,0.6004675733393279,0.5106751114771791,0.18013746499003136,0.0503,0.05442250844801501,-0.004122508448015011,0.004122508448015011
PRT,Portugal,0.461157447089075,0.551889705697287,0.5057735797108155,0.09073225860821199,0.0332999999999999,0.03727476376639717,-0.003974763766397271,0.003974763766397271
ECU,Ecuador,0.13360323557043374,0.19547653962810008,0.15896576130932122,0.061873304057666334,0.0280999999999999,0.0317396724172674,-0.0036396724172674984,0.0036396724172674984
URY,Uruguay,0.291439497633402,0.4341182319790672,0.3555201149243363,0.1426787343456652,0.0507,0.04723799677154844,0.0034620032284515614,0.0034620032284515614
VNM,Viet Nam,0.11625028601117693,0.15367316247845925,0.13403802405713885,0.03742287646728232,0.0305,0.02705012796405367,0.003449872035946329,0.003449872035946329
GNB,Guinea-Bissau,0.09478415807242936,0.03594673672896639,0.0667178399261081,-0.058837421343462974,0.0053999999999999,0.008587590080232872,-0.003187590080232972,0.003187590080232972
SUR,Suriname,0.2659027839942709,0.5424908874964164,0.37601432618805797,0.27658810350214547,0.0758,0.07292155330812591,0.0028784466918740925,0.0028784466918740925
CHL,Chile,0.3416324926641309,0.44753310575301436,0.3856040617846397,0.10590061308888343,0.0373999999999999,0.040184024651764585,-0.002784024651764687,0.002784024651764687
VUT,Vanuatu,0.16127139613785366,0.20288970942366352,0.17965995678380522,0.041618313285809866,0.0252,0.02785480458528676,-0.0026548045852867602,0.0026548045852867602
BRA,Brazil,0.2733373858418957,0.41998161780711335,0.3365445288463129,0.14664423196521764,0.0455,0.047998571501673734,-0.0024985715016737353,0.0024985715016737353
