country_code,country_name,weighted_exposure,wage_weighted_exposure,exposed_wage_bill,wage_data_year,wage_coverage
HND,Honduras,0.2314,0.2667,236.1,2025.0,1.0
MMR,Myanmar,0.2293,0.2469,97.3,2020.0,1.0
BWA,Botswana,0.2282,0.3091,348.2,2024.0,1.0
KIR,Kiribati,0.2273,0.2414,131.7,2023.0,1.0
BEN,Benin,0.2272,0.2508,60.3,2022.0,1.0
GIN,Guinea,0.2271,0.2554,130.0,2019.0,1.0
VNM,Viet Nam,0.2253,0.2401,259.1,2024.0,1.0
MWI,Malawi,0.2225,0.2826,59.6,2013.0,1.0
ECU,Ecuador,0.2222,0.2506,279.0,2025.0,1.0
KHM,Cambodia,0.2208,0.2366,165.2,2023.0,1.0
GHA,Ghana,0.22,0.2189,113.4,2024.0,1.0
VUT,Vanuatu,0.2182,0.2402,77.4,2010.0,1.0
BGD,Bangladesh,0.218,0.2332,102.9,2024.0,1.0
IND,India,0.2166,0.253,201.0,2024.0,1.0
SDN,Sudan,0.2128,0.2278,148.5,2022.0,1.0
AGO,Angola,0.2095,0.25,56.9,2024.0,1.0
TLS,Timor-Leste,0.2076,0.2077,109.0,2021.0,1.0
LAO,Lao People's Democratic Republic,0.2054,0.2017,134.9,2022.0,1.0
MLI,Mali,0.2001,0.2225,70.9,2023.0,1.0
KEN,Kenya,0.1988,0.2951,74.2,2019.0,1.0
BFA,Burkina Faso,0.1977,0.2261,85.3,2024.0,1.0
COD,"Congo, Democratic Republic of the",0.1969,0.2506,37.5,2016.0,1.0
AFG,Afghanistan,0.1893,0.1965,131.6,2020.0,1.0
ZMB,Zambia,0.1872,0.2379,87.7,2024.0,1.0
RWA,Rwanda,0.1862,0.2399,46.1,2024.0,1.0
UGA,Uganda,0.182,0.2308,52.0,2021.0,1.0
GNB,Guinea-Bissau,0.1788,0.188,62.5,2022.0,1.0
ETH,Ethiopia,0.1767,0.1896,40.4,2021.0,1.0
LSO,Lesotho,0.1748,0.2173,75.8,2024.0,1.0
TZA,"Tanzania, United Republic of",0.1733,0.2007,96.4,2024.0,1.0
BDI,Burundi,0.144,0.1841,14.5,2020.0,1.0
