country_code,wc_share_M,wc_share_F,wcs_share_M,wcs_share_F,sales_share_M,sales_share_F,wc_avg_exp,bc_avg_exp,wcs_avg_exp,bcs_avg_exp,wc_gap,wc_exposure_spread,predicted_wc,wcs_gap,wcs_exposure_spread,predicted_wcs,country_name,gender_gap,residual_wc,residual_wcs
GIN,0.10941013080348437,0.04675700272456352,0.2650542821100696,0.43993182202168585,0.15564415130658518,0.3931748192971222,0.3763152576861782,0.21294690387970525,0.36592922779179754,0.15274187234040335,-0.06265312807892084,0.16336835380647294,-0.010235538395079404,0.17487753991161625,0.2131873554513942,0.03728168026160311,Guinea,0.0311,0.041335538395079405,-0.006181680261603113
GMB,0.1510903633659159,0.08455129760638133,0.28083829154271145,0.41636334223085014,0.1297479281767956,0.3318120446244688,0.37412385264998166,0.2150537147465453,0.36637286242818157,0.16166133301683516,-0.06653906575953455,0.15907013790343635,-0.010584378366334982,0.1355250506881387,0.2047115294113464,0.027743540399919116,Gambia,0.0291,0.03968437836633498,0.0013564596000808851
GNB,0.09478415807242935,0.03594673672896639,0.16343176497243408,0.23185389280809357,0.06864760690000475,0.1959071560791272,0.38293604661878267,0.16404192946909935,0.3693832797319146,0.13111967256930215,-0.05883742134346296,0.21889411714968332,-0.01287916540034126,0.06842212783565949,0.23826360716261244,0.016302502987865623,Guinea-Bissau,0.0053999999999999,0.01827916540034116,-0.010902502987865723
GRC,0.3655955425256468,0.5194129839871473,0.47155608052977316,0.6848962328062314,0.10596053800412637,0.16548324881908422,0.42850930161652456,0.22128457160157944,0.41308699224623946,0.17853180968175547,0.1538174414615005,0.20722473001494512,0.03187477777844907,0.2133401522764582,0.234555182564484,0.05004003836553947,Greece,0.0538,0.02192522222155093,0.003759961634460532
GTM,0.13477610580217786,0.17641285556742853,0.2379142602894998,0.45031317320318187,0.10313815448732194,0.27390031763575323,0.4173062049470599,0.2006566357172524,0.3878962348928083,0.15795866447225596,0.04163674976525067,0.2166495692298075,0.009020583900770845,0.21239891291368207,0.22993757042055232,0.04883848999533853,Guatemala,0.0481999999999999,0.03917941609922906,-0.00063848999533863
GUY,0.172855661276963,0.35123197550530644,0.24367121647676251,0.5730496307176697,0.07081555519979953,0.22181765521236319,0.39636254520767356,0.19821747086262337,0.38451979387110635,0.1631795889812769,0.17837631422834344,0.1981450743450502,0.03534438804417114,0.3293784142409072,0.22134020488982944,0.07290468569436952,Guyana,0.0788999999999999,0.04355561195582876,0.005995314305630384
HND,0.13875888982734766,0.2082070949903464,0.21629787692233368,0.5112946371703962,0.07753898709498598,0.30308754218004985,0.39776593069918337,0.19813142904656875,0.38012163004276506,0.15693828396441667,0.06944820516299874,0.19963450165261462,0.013864257828383792,0.29499676024806254,0.2231833460783484,0.06583836403443491,Honduras,0.0715,0.057635742171616204,0.005661635965565084
HRV,0.43396143168412266,0.6006586349443132,0.46741739805280463,0.7248498792713298,0.03345596636868197,0.12419124432701668,0.4074034507478418,0.20698898895192838,0.4015860223046056,0.1774743440033665,0.1666972032601905,0.2004144617959134,0.03340853027427506,0.2574324812185252,0.2241116783012391,0.057693625415135896,Croatia,0.062,0.02859146972572494,0.004306374584864103
HUN,0.3890239951690105,0.6038828847843303,0.420698931728236,0.6978071338503418,0.03167493655922547,0.09392424906601148,0.41964670867038834,0.20079892985495362,0.41332541450668386,0.17860715622000525,0.2148588896153198,0.2188477788154347,0.04702139075106341,0.27710820212210574,0.2347182582866786,0.06504235455905355,Hungary,0.0688999999999999,0.021878609248936497,0.0038576454409463556
IDN,0.13396920896019385,0.18221161530998017,0.269768423782388,0.45093899532304577,0.13579921482219418,0.26872738001306573,0.4101673960944011,0.21140677108886502,0.383886267476138,0.1681038434856952,0.048242406349786326,0.1987606250055361,0.009588690837854573,0.18117057154065774,0.2157824239904428,0.039093425082777064,Indonesia,0.0351999999999999,0.025611309162145324,-0.003893425082777166
IND,0.1510998864058711,0.11194584094035069,0.2574153440391879,0.1639168851778217,0.10631545763331689,0.051971044237470995,0.4025613850140173,0.18659787372167738,0.38687229216506247,0.16620854713707464,-0.03915404546552041,0.2159635112923399,-0.008455845140033707,-0.09349845886136623,0.22066374502798783,-0.020631720086694328,India,-0.0239,-0.015444154859966294,-0.003268279913305673
IRL,0.5293067407136214,0.6700642766647423,0.5723454910114788,0.7455814151714626,0.04303875029785745,0.07551713850672018,0.41547571910423853,0.2054117926018079,0.4107475249010964,0.17878728983269498,0.14075753595112095,0.21006392650243064,0.02956808068669951,0.1732359241599838,0.2319602350684014,0.040183845690441596,Ireland,0.0408,0.011231919313300493,0.0006161543095584074
IRN,0.2016580068535071,0.5051721455289726,0.3283813474402912,0.5875090288328108,0.12672334058678406,0.08233688330383811,0.40902599365572523,0.20166400451761538,0.3940448033700409,0.1711279538016056,0.3035141386754655,0.20736198913810985,0.06293729552728465,0.25912768139251957,0.2229168495684353,0.057763926371993714,Iran (Islamic Republic of),0.0553999999999999,-0.00753729552728475,-0.002363926371993813
IRQ,0.19399771210544312,0.6667718711351495,0.3183096795477251,0.6871736562527951,0.124311967442282,0.020401785117645666,0.3758458676382705,0.19545072071082534,0.37169435257980377,0.16350027675309742,0.4727741590297063,0.18039514692744515,0.0852861638816632,0.36886397670507004,0.20819407582670635,0.07679529473587579,Iraq,0.0798,-0.005486163881663203,0.003004705264124205
ISR,0.5553593381505877,0.6850257298362152,0.5995312650702393,0.7459644172361141,0.04417192691965167,0.06093868739989888,0.4111260517101756,0.206752014877875,0.4073302762763488,0.18188427749403824,0.12966639168562755,0.20437403683230057,0.026500443910269955,0.1464331521658747,0.22544599878231059,0.03301276824487769,Israel,0.034,0.007499556089730047,0.00098723175512231
ITA,0.43301377061271074,0.5802621229942374,0.4846099241780469,0.6809127538218033,0.05159615356533614,0.10065063082756587,0.42433377806371386,0.20145573490437177,0.416448266473934,0.17382491672566946,0.14724835238152667,0.2228780431593421,0.03281842463723191,0.1963028296437564,0.24262334974826455,0.047627650093231104,Italy,0.0562,0.023381575362768088,0.008572349906768896
JOR,0.19159499007925646,0.5247677131339462,0.2730112402966629,0.5463777683903057,0.08141625021740645,0.021610055256359364,0.4255593667885706,0.1982044043202835,0.41152184175862305,0.1810112850091684,0.33317272305468976,0.2273549624682871,0.075748471945556,0.2733665280936428,0.23051055674945464,0.06301387058753104,Jordan,0.0235,-0.052248471945556006,-0.03951387058753104
JPN,0.36560898655619484,0.49601908733098915,0.43839718555094453,0.5172216218375172,0.07278819899474971,0.02120253450652808,0.47310684942300013,0.2008195686896864,0.46153600240199305,0.18558575842156452,0.1304101007747943,0.27228728073331376,0.03550901172012616,0.07882443628657265,0.27595024398042856,0.021751622424899468,Japan,0.0455999999999999,0.010090988279873737,0.02384837757510043
KEN,0.13789050393582455,0.13034296891104308,0.1773685475781917,0.16871163250682067,0.039478043642367164,0.038368663595777584,0.40278669379632565,0.16709393812877227,0.393748338893394,0.15789625433254717,-0.0075475350247814765,0.23569275566755338,-0.001778899328488122,-0.008656915071371035,0.23585208456084683,-0.002041751465449071,Kenya,0.0035999999999999,0.005378899328488022,0.0056417514654489714
KGZ,0.1636272431490256,0.3436270604483749,0.23776477123094278,0.4703523481485212,0.07413752808191719,0.12672528770014624,0.3767316483304325,0.1983218284947568,0.3726314501695006,0.17516487960555324,0.17999981729934927,0.1784098198356757,0.03211373497483144,0.23258757691757845,0.19746657056394737,0.04592827116969254,Kyrgyzstan,0.0438999999999999,0.011786265025168455,-0.00202827116969264
KHM,0.1141143255789781,0.08782437629720269,0.21793555243954035,0.32821241888270697,0.10382122686056224,0.24038804258550422,0.42105682768611813,0.19797405654553968,0.3844365499110098,0.15935379040953643,-0.026289949281775415,0.22308277114057845,-0.00586483473892372,0.11027686644316662,0.22508275950147336,0.02482142140820337,Cambodia,0.0258,0.03166483473892372,0.0009785785917966298
KIR,0.16510237045444623,0.29613829020998395,0.21582922250840353,0.4641808410438252,0.0507268520539573,0.1680425508338412,0.3901822339361641,0.18013116997942888,0.38153617427513703,0.15250511807210113,0.13103591975553772,0.2100510639567352,0.027524234361200075,0.24835161853542165,0.2290310562030359,0.05688023350290109,Kiribati,0.0732,0.04567576563879992,0.01631976649709891
KOS,0.32064636274704167,0.6126105125017267,0.4551189342554706,0.7757373255974581,0.13447257150842892,0.16312681309573143,0.4012825434711513,0.21223297990142345,0.39111461429441585,0.16553940035667042,0.29196414975468504,0.18904956356972782,0.055195695089129866,0.3206183913419875,0.22557521393774543,0.07232356221934462,Kosovo,0.0648,0.00960430491087013,-0.007523562219344623
LAO,0.09430945679961124,0.08717528061064696,0.15147069514279513,0.24476108945238045,0.05716123834318387,0.15758580884173348,0.42987319509801686,0.18245230888248581,0.39379892002735434,0.15834530672758815,-0.007134176188964281,0.24742088621553104,-0.0017651441950912823,0.09329039430958533,0.2354536132997662,0.021965560426351814,Lao People's Democratic Republic,0.0163999999999999,0.018165144195091184,-0.005565560426351913
LBN,0.24901166382035533,0.481852941723862,0.3426537916500127,0.5939240286448694,0.09364212782965733,0.11207108692100741,0.3978461547198674,0.19639501907137755,0.3894789669678154,0.1656321932938829,0.23284127790350667,0.20145113564848985,0.04690613985950704,0.2512702369948567,0.22384677367393252,0.05624603187158307,Lebanon,0.0366999999999999,-0.010206139859507142,-0.019546031871583172
LKA,0.1963201135353773,0.3153558147827415,0.2825746496068337,0.3967419477596957,0.08625453607145643,0.08138613297695421,0.4024320663176667,0.18327493708445988,0.3919188482706923,0.16081751440825576,0.1190357012473642,0.21915712923320682,0.026087522561633995,0.11416729815286197,0.23110133386243653,0.02638421488659689,Sri Lanka,0.0225999999999999,-0.0034875225616340932,-0.003784214886596988
LSO,0.08223953378526713,0.11155375085010541,0.12266742949899212,0.18840043593690867,0.040427895713724994,0.07684668508680323,0.3734641884010595,0.1536579625723504,0.36940125227357556,0.13972133754452168,0.029314217064838277,0.2198062258287091,0.00644344741614564,0.06573300643791655,0.22967991472905389,0.015097551313545022,Lesotho,0.0174,0.010956552583854359,0.0023024486864549765
LTU,0.43913289045480225,0.6109420843297566,0.46336569753368667,0.7039429844147569,0.02423280707888438,0.0930009000850003,0.4123355105396785,0.1943935405202932,0.40736288659115777,0.17091605259442444,0.17180919387495436,0.21794197001938528,0.03744443418055006,0.24057728688107022,0.23644683399673333,0.0568837378145529,Lithuania,0.0520999999999999,0.014655565819449844,-0.004783737814552998
